state,x,y
Andhra Pradesh,-64,-156
Arunachal Pradesh,255,163
Assam,196,110
Bihar,66,83
Chhattisgarh,-12,-16
Goa,-191,-161
Gujarat,-233,24
Haryana,-133,164
Himachal Pradesh,-108,230
Jharkhand,56,28
Karnataka,-167,-174
Kerala,-137,-279
Madhya Pradesh,-107,29
Maharashtra,-161,-70
Manipur,247,74
Meghalaya,179,87
Mizoram,222,32
Nagaland,258,110
Odisha,50,39
Punjab,-151,209
Rajasthan,-195,115
Sikkim,128,130
Tamil nadu,-82,-264
Telangana,-73,-104
Tripura,199,46
Uttar Pradesh,-51,123
Uttarakhand,-75,191
West Bengal,111,21
